Application,QProto Name,NetMon Old Name,NetMon New Short Name,NetMon New Long Name,Syslog Field,SIEM MPE Tag,SIEM Mapped Field (6.3 Name),SIEM Long Name 6.3,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,ÿÿ optional uint64 TimeUpdated = 15;,,TimeUpdated,Time Updated,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,ÿÿ optional uint64 BytesTotal = 27;,,TotalBytes,Total Bytes,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,ÿÿ optional uint64 BytesTotalDelta = 28;,,TotalBytesDelta,Total Bytes Delta,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,ÿÿ optional uint32 PacketTotal = 13;,,TotalPackets,Total Packets,csv,<packetsin>,Impacted Host Packets In,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,ÿÿ optional bool Written = 39;,,Written,Written,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,actionQ_PROTO_0ZZ0,action,Action,Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,download_urlQ_PROTO_0ZZ0,download_url,DownloadURL,Download URL,url,<url>,URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,email_addressQ_PROTO_0ZZ0,email_address,EmailAddr,Email Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,email_invitedQ_PROTO_0ZZ0,email_invited,EmailInvited,Email Invited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,filenameQ_PROTO_0ZZ0,filename,Filename,Filename,objectname,<objectname>,Object Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,filesizeQ_PROTO_0ZZ0,filesize,FileSize,File Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,loginQ_PROTO_0ZZ0,login,Login,Login,login,<login>,Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,nameQ_PROTO_0ZZ0,name,Name,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,name_invitedQ_PROTO_0ZZ0,name_invited,NameInvited,Name Invited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,passwordQ_PROTO_0ZZ0,password,Passwd,Password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,sidQ_PROTO_0ZZ0,sid,SID,SID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,sidcQ_PROTO_0ZZ0,sidc,SIDC,SIDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ZZ0,upload_descriptionQ_PROTO_0ZZ0,upload_description,UploadDescription,Upload Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GPP_LI,country_codeQ_PROTO_3GPP_LI,country_code,CountryCode,Country Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GPP_LI,ice_typeQ_PROTO_3GPP_LI,ice_type,IceType,Ice Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GPP_LI,liidQ_PROTO_3GPP_LI,liid,LIID,LIID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GPP_LI,sequence_numberQ_PROTO_3GPP_LI,sequence_number,SeqNum,Sequence Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GPP_LI,timestampQ_PROTO_3GPP_LI,timestamp,Timestamp,Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
